V1	V2
Bnip3	Trem1
Fam162a	Trem1
Higd1a	Trem1
Pilra	Trem1
Fndc3a	Trem1
Slc2a1	Trem1
Eif4ebp1	Trem1
P4hb	Trem1
Sgms2	Trem1
Lyz2	Grina
Ctss	Grina
Cst3	Grina
Tmsb4x	Grina
Cxcl3	Grina
Rpl37a	Grina
Rps27a	Grina
Tyrobp	Grina
Rpl32	Grina
Slpi	Grina
Rps18	Grina
Rps4x	Grina
Rpl41	Grina
Rps19	Grina
Rpl13	Grina
Rps8	Grina
Rplp1	Grina
Rpl3	Grina
Fcer1g	Grina
Prdx6	Grina
Rpl14	Grina
Rgcc	Grina
Rps23	Grina
F10	Grina
Rpl11	Grina
Slc16a3	Grina
Manf	Grina
Mt2	Grina
Emilin2	Grina
Smox	Grina
Ero1l	Grina
Nedd9	Grina
Inhba	Grina
Bnip3	Grina
Fam162a	Grina
Higd1a	Grina
Pilra	Grina
Fndc3a	Grina
Dnajb9	Grina
Gpr141	Grina
Slc2a1	Grina
Eif4ebp1	Grina
P4hb	Grina
Sgms2	Grina
Maml2	Grina
Trem1	Grina
Lyz2	Ndrg1
Ctss	Ndrg1
Cst3	Ndrg1
Tmsb4x	Ndrg1
Cxcl3	Ndrg1
Rpl37a	Ndrg1
Rps27a	Ndrg1
Tyrobp	Ndrg1
Rpl32	Ndrg1
Slpi	Ndrg1
Rps18	Ndrg1
Rpl41	Ndrg1
Rps19	Ndrg1
Rpl13	Ndrg1
Rps8	Ndrg1
Rplp1	Ndrg1
Rpl3	Ndrg1
Fcer1g	Ndrg1
Prdx6	Ndrg1
Rpl14	Ndrg1
Rgcc	Ndrg1
Rps23	Ndrg1
F10	Ndrg1
Rpl11	Ndrg1
Slc16a3	Ndrg1
Manf	Ndrg1
Mt2	Ndrg1
Emilin2	Ndrg1
Smox	Ndrg1
Ero1l	Ndrg1
Nedd9	Ndrg1
Inhba	Ndrg1
Bnip3	Ndrg1
Fam162a	Ndrg1
Higd1a	Ndrg1
Pilra	Ndrg1
Fndc3a	Ndrg1
Dnajb9	Ndrg1
Gpr141	Ndrg1
Dok2	Ndrg1
Slc2a1	Ndrg1
Eif4ebp1	Ndrg1
P4hb	Ndrg1
Sgms2	Ndrg1
Maml2	Ndrg1
Trem1	Ndrg1
Grina	Ndrg1
Lyz2	Tes
Ctss	Tes
Cst3	Tes
Tmsb4x	Tes
Cxcl3	Tes
Rpl37a	Tes
Rpl32	Tes
Slpi	Tes
Rps19	Tes
Rpl13	Tes
Rps8	Tes
Rplp1	Tes
Rpl3	Tes
Prdx6	Tes
Rpl14	Tes
Rgcc	Tes
F10	Tes
Rpl11	Tes
Slc16a3	Tes
Manf	Tes
Mt2	Tes
Emilin2	Tes
Smox	Tes
Ero1l	Tes
Nedd9	Tes
Inhba	Tes
Bnip3	Tes
Fam162a	Tes
Higd1a	Tes
Fndc3a	Tes
Dnajb9	Tes
Gpr141	Tes
Slc2a1	Tes
Eif4ebp1	Tes
P4hb	Tes
Sgms2	Tes
Grina	Tes
Ndrg1	Tes
Lyz2	Bst1
Tmsb4x	Bst1
Cxcl3	Bst1
Rpl37a	Bst1
Rps27a	Bst1
Tyrobp	Bst1
Rps19	Bst1
Rpl13	Bst1
Rps8	Bst1
Rplp1	Bst1
Prdx6	Bst1
Rgcc	Bst1
Mt2	Bst1
Ero1l	Bst1
Bnip3	Bst1
Fam162a	Bst1
Fndc3a	Bst1
Dnajb9	Bst1
Slc2a1	Bst1
Grina	Bst1
Ndrg1	Bst1
Lyz2	Tuba1a
Ctss	Tuba1a
Tmsb4x	Tuba1a
Tyrobp	Tuba1a
Rpl32	Tuba1a
Slpi	Tuba1a
Rps19	Tuba1a
Rpl13	Tuba1a
Rps8	Tuba1a
Rpl14	Tuba1a
Rpl11	Tuba1a
Slc16a3	Tuba1a
Manf	Tuba1a
Mt2	Tuba1a
Emilin2	Tuba1a
Smox	Tuba1a
Ero1l	Tuba1a
Inhba	Tuba1a
Bnip3	Tuba1a
Fam162a	Tuba1a
Fndc3a	Tuba1a
Dnajb9	Tuba1a
Slc2a1	Tuba1a
P4hb	Tuba1a
Maml2	Tuba1a
Trem1	Tuba1a
Grina	Tuba1a
Ndrg1	Tuba1a
Tes	Tuba1a
Lyz2	Pfkp
Cst3	Pfkp
Tmsb4x	Pfkp
Cxcl3	Pfkp
Rpl37a	Pfkp
Slpi	Pfkp
Rps19	Pfkp
Rps8	Pfkp
Prdx6	Pfkp
Rpl14	Pfkp
Rgcc	Pfkp
F10	Pfkp
Rpl11	Pfkp
Ccr1	Pfkp
Slc16a3	Pfkp
Manf	Pfkp
Mt2	Pfkp
Emilin2	Pfkp
Smox	Pfkp
Ero1l	Pfkp
Nedd9	Pfkp
Inhba	Pfkp
Bnip3	Pfkp
Fam162a	Pfkp
Higd1a	Pfkp
Fndc3a	Pfkp
Dnajb9	Pfkp
Gpr141	Pfkp
Slc2a1	Pfkp
Eif4ebp1	Pfkp
P4hb	Pfkp
Sgms2	Pfkp
Maml2	Pfkp
Trem1	Pfkp
Grina	Pfkp
Ndrg1	Pfkp
Tes	Pfkp
Tuba1a	Pfkp
Lyz2	Egln3
Ctss	Egln3
Cst3	Egln3
Tmsb4x	Egln3
Cxcl3	Egln3
Rpl37a	Egln3
Tyrobp	Egln3
Rpl32	Egln3
Slpi	Egln3
Rps18	Egln3
Rps19	Egln3
Rpl13	Egln3
Rps8	Egln3
Rplp1	Egln3
Rpl3	Egln3
Prdx6	Egln3
Rpl14	Egln3
Rgcc	Egln3
F10	Egln3
Rpl11	Egln3
Ccr1	Egln3
Slc16a3	Egln3
Manf	Egln3
Mt2	Egln3
Emilin2	Egln3
Smox	Egln3
Ero1l	Egln3
Nedd9	Egln3
Inhba	Egln3
Bnip3	Egln3
Fam162a	Egln3
Higd1a	Egln3
Pilra	Egln3
Fndc3a	Egln3
Dnajb9	Egln3
Gpr141	Egln3
Dok2	Egln3
Slc2a1	Egln3
Eif4ebp1	Egln3
P4hb	Egln3
Sgms2	Egln3
Maml2	Egln3
Trem1	Egln3
Grina	Egln3
Ndrg1	Egln3
Tes	Egln3
Tuba1a	Egln3
Pfkp	Egln3
Lyz2	Atf4
Ctss	Atf4
Cst3	Atf4
Tmsb4x	Atf4
Cxcl3	Atf4
Rpl37a	Atf4
Tyrobp	Atf4
Rps29	Atf4
Rpl32	Atf4
Rps18	Atf4
Rps4x	Atf4
Rpl13	Atf4
